ATCO Code,Stop Type
0600MA0171,BCT
0600MA0176,BCT
0600MA0177,BCT
0600MA0225,BCT
0600MA0242,BCT
0600MA0248,BCT
0600MA0257,BCT
0600MA0366,BCT
0600MA0370,BCT
0600MA0377,BCT
0600MA0427,BCT
0600MA0589,BCT
0600MA6003,BCT
0600MA6058,BCT
0600MA6106,BCT
0600MA6127,BCT
0600MA6205,BCT
0600MA771TAX,STR
0600MA772TAX,STR
0600MA773TAX,STR
0600MA774TAX,STR
0600MA775TAX,STR
0600MA776TAX,STR
0600MABSENT,BCE
0600MABSENT1,BCE
0600MABSENT2,BCE
0600MACBSENT,BCE
0600MACLSFD0,RSE
0600MAKTENT,BCE
0600MOBERLY0,RSE
0600NABSENT,BCE
0600NANTWCH0,RSE
0600PLUMLEY0,RSE
0600POYNTON0,RSE
0600PSBY0,RSE
0600SBCH0,RSE
0600STYAL0,RSE
0600STYAL1,RSE
0600WLMSL0,RSE
0600WRENBRY0,RSE
0600MA19200,BCT
0600MA19201,BCT
0600CO19223,BCT
0600CO19224,BCT
0600MA000064,BCT
0600CO000065,BCT
0600CO000066,BCT
0600CO000068,BCT
0600CO000069,BCT
0600MA000072,BCT
0610110811,BCE
0610781411,BCE
0610ACBG0,RSE
0610BACHE0,RSE
0610BACHE1,RSE
0610CH001TAX,STR
0610CH002TAX,STR
0610CH003TAX,STR
0610CH004TAX,STR
0610CH16871,BCT
0610CH17174,BCT
0610CH19067,STR
0610CH2507,BCT
0610CH561,BCT
0610CH590,BCT
0610CH606,BCS
0610CH649,BCS
0610CH650,BCS
0610CH651,BCS
0610CH684,BCT
0610CHBEENT,BCE
0610CHBEENT2,BCE
0610CHBSENT,BCE
0610CHST0,RSE
0610CHST1,RSE
0610CPNHRST0,RSE
0610CPNHRST1,RSE
0610CPNHRST2,RSE
0610CUDNGTN0,RSE
0610D4203,BCT
0610DELAMER0,RSE
0610DELAMER1,RSE
0610ELSMPRT0,RSE
0610EP001TAX,STR
0610EP19002,BCT
0610EP19055,BCT
0610EP190TAX,STR
0610EP19TAX,STR
0610EPBSENT,BCE
0610FRDSHM0,RSE
0610FRDSHM1,RSE
0610GBNK0,RSE
0610HARTFD0,RSE
0610HELSBY0,RSE
0610HOOTON0,RSE
0610HOOTON1,RSE
0610INEL0,RSE
0610INEL1,RSE
0610LSTG0,RSE
0610LTLSUTN0,RSE
0610LTLSUTN1,RSE
0610MLDSWTH0,RSE
0610MLDSWTH1,RSE
0610MLDSWTH2,RSE
0610NESTON0,RSE
0610NESTON1,RSE
0610NESTON2,RSE
0610NESTON3,RSE
0610NTHWICH0,RSE
0610OPOL0,RSE
0610OPOL1,RSE
0610STNLWAT0,RSE
0610STNLWAT1,RSE
0610VR001TAX,STR
0610VR002TAX,STR
0610VR003TAX,STR
0610VR004TAX,STR
0610VR005TAX,STR
0610VR006TAX,STR
0610VR007,BCT
0610VR007TAX,STR
0610VR19192,STR
0610VR191TAX,STR
0610VR406,BCT
0610VR407,BCT
0610VR408,BCT
0610VR486,BCT
0610VR487,BCT
0610VR490,BCT
0610VR491,BCT
0610VR888TAX,STR
0610WNSFD0,RSE
0680TX000015,TXR
0680TX000006,TXR
0680TX000016,TXR
0680TX000007,TXR
0680TX000017,TXR
0680TX000008,TXR
0680TX000009,TXR
0680TX000018,TXR
0680TX000014,TXR
0680TX000005,TXR
0680TX000001,TXR
0680TX000010,TXR
0680TX000011,TXR
0680TX000002,TXR
0680TX000012,TXR
0680TX000003,TXR
0680TX000013,TXR
0680TX000004,TXR
068000000891,BCT
068000000890,BCT
068000000614,BCT
068000000472,BCT
068000000857,BCT
068000000856,BCT
068000000859,BCT
068000000858,BCT
068000000835,BCT
068000000837,BCT
068000000836,BCT
068000000834,BCT
068000000832,BCT
068000000833,BCT
068000000709,BCT
068000000710,BCT
068000000762,BCT
068000000761,BCT
068000000782,BCT
068000000785,BCT
068000000786,BCT
068000000787,BCT
068000000780,BCT
068000001002,BCT
068000000100,BCT
068000002,BCT
068000001,BCT
06800000901,BCT
068000000901,BCT
068000000902,BCT
069000090001,TXR
069000090002,TXR
069000090003,TXR
069000090004,TXR
069000090005,TXR
069000090006,TXR
069000090007,TXR
069000090008,TXR
069000090009,TXR
069000090010,TXR
0690WNA02907,BCT
0690WNA02912,BCT
0690WNA02913,BCT
0690WNA02914,BCT
0690WNA02917,BCT
0690WNA02918,BCT
0690WNA02919,BCT
0690WNA02920,BCT
0690WNA02921,BCT
0690WNA02922,BCT
0690WNA02970,BCT
0690WRGT0,RSE
0690WRGTNBQ,RSE
075071TX01,STR
075071TX02,STR
075071TX03,TXR
075071TX04,TXR
075071TX05,STR
075071TX06,STR
075071TX07,TXR
075071TX08,STR
075071TX09,STR
075071TX10,STR
075071TX11,TXR
075071TX12,STR
075071TX13,TXR
075071TX14,STR
075071TX15,STR
075071TX16,STR
075071TX17,TXR
075071TX18,STR
075071TX19,STR
075071TX20,STR
075071TX21,STR
075071TX22,STR
0750HRTLEPL0,RSE
0750SETNCRW0,RSE
07605716A,BCT
07605716C,BCT
07605716E,BCT
07605717A,BCT
0760DINSDAL0,RSE
0760DLTN0,RSE
0760DLTN1,RSE
0760MME1,AIR
0760NTRD0,RSE
0760TSDARPR0,RSE
077072412E,BCT
077072491C,BCT
077072491D,BCT
077072491E,BCT
077072491F,BCT
077072TX01,TXR
077072TX02,TXR
077072TX03,TXR
077072TX04,STR
077072TX05,STR
077072TX06,STR
077072TX07,STR
077072TX08,STR
077072TX09,STR
077072TX10,STR
077072TX11,STR
077072TX12,STR
077072TX13,TXR
077072TX14,STR
077072TX15,TXR
077072TX16,TXR
077072TX17,TXR
077072TX18,TXR
0770ALLENSW0,RSE
0770BLNGHM0,RSE
0770EGLSCLF0,RSE
0770STOCTON0,RSE
0770TABY0,RSE
0770TABY1,RSE
0770YAAM0,RSE
078074TX01,TXR
078074TX02,TXR
078074TX03,TXR
078074TX04,TXR
078074TX05,TXR
078074TX06,STR
078074TX07,TXR
078074TX08,STR
078074TX09,STR
078074TX10,TXR
078074TX11,TXR
0780GYPSYLA0,RSE
0780LONGBCK0,RSE
0780MRSK0,RSE
0780NUNTHRP0,RSE
0780REDCARC0,RSE
0780REDCARE0,RSE
0780REDCBSC0,RSE
0780SBRN0,RSE
0780STHBANK0,RSE
079073107C,BCT
079073107D,BCT
079073107E,BCT
079073107F,BCT
079073TX01,TXR
079073TX02,TXR
079073TX03,TXR
079073TX04,TXR
079073TX05,TXR
079073TX06,TXR
079073TX07,TXR
079073TX08,TXR
079073TX09,STR
079073TX10,TXR
079073TX11,TXR
079073TX12,TXR
079073TX13,STR
079073TX14,STR
079073TX15,STR
079073TX16,STR
079073TX17,STR
079073TX18,STR
079073TX19,STR
079073TX20,STR
0790MARTON0,RSE
0790MDLSBRO0,RSE
0790MDLSBRO1,RSE
0790JAMCOK0,RSE
0800BODMNPW0,RSE
0800BUGLE0,RSE
0800CALSTCK0,RSE
0800CARBISB0,RSE
0800CAUSLND0,RSE
0800CBORNE0,RSE
0800COOMBE0,RSE
0800FALMTHD0,RSE
0800FALMTHT0,RSE
0800GUNISLK0,RSE
0800HAYLE0,RSE
0800LELANT0,RSE
0800LELANTS0,RSE
0800LISKARD0,RSE
0800LOOE0,RSE
0800LSTWTHL0,RSE
0800LUXULYN0,RSE
0800MENHENT0,RSE
0800NEWQUAY0,RSE
0800PARR0,RSE
0800PENMERE0,RSE
0800PENZNCE0,RSE
0800PERANWL0,RSE
0800PRYN0,RSE
0800QNTRLDW0,RSE
0800RCHE0,RSE
0800REDRUTH0,RSE
0800SASH0,RSE
0800SDPLACE0,RSE
0800STAUSTL0,RSE
0800STCLMBR0,RSE
0800STERTH0,RSE
0800STGRMNS0,RSE
0800STIVES0,RSE
0800STKEYNE0,RSE
0800TRURO0,RSE
0800ISC10,AIR
0800LEQ10,AIR
0800NQY10,AIR
0800TSO10,AIR
0800AGN0,FTD
0800ANT0,FTD
0800BOD0,FTD
0800BRY0,FTD
0800CRE0,FTD
0800CUS0,FTD
0800CWS0,FTD
0800FAL0,FTD
0800FCQ0,FTD
0800FLU0,FTD
0800FOY0,FTD
0800FTQ0,FTD
0800HEP0,FTD
0800HLF0,FTD
0800KGH0,FTD
0800MAR0,FTD
0800MAT0,FTD
0800MAW0,FTD
0800MEV0,FTD
0800NMC0,FTD
0800PAD0,FTD
0800PEN0,FTD
0800PHY0,FTD
0800POL0,FTD
0800PON0,FTD
0800TCK0,FTD
0800TCO0,FTD
0800TOL0,FTD
0800TPT0,FTD
0800ZZBWBDP0,TMU
0800ZZBWBOS0,TMU
